"drug","CVCL_1057","CVCL_0131","CVCL_1058","CVCL_1059","CVCL_1060","CVCL_0134","CVCL_0132","CVCL_1063","CVCL_1055","CVCL_0037","CVCL_1056","CVCL_0023","CVCL_0080","CVCL_1065","CVCL_1067","CVCL_1068","CVCL_0139","CVCL_1074","CVCL_0153","CVCL_1093","CVCL_1082","CVCL_1086","CVCL_1089","CVCL_1092","CVCL_1096","CVCL_1097","CVCL_1098","CVCL_1099","CVCL_1101","CVCL_0234","CVCL_1105","CVCL_0608","CVCL_0236","CVCL_0207","CVCL_0209","CVCL_0216","CVCL_0218","CVCL_1146","CVCL_1167","CVCL_0008","CVCL_1168","CVCL_1169","CVCL_1170","CVCL_1171","CVCL_1180","CVCL_1182","CVCL_0105","CVCL_1186","CVCL_1188","CVCL_1189","CVCL_1190","CVCL_1194","CVCL_1195","CVCL_1198","CVCL_1199","CVCL_1200","CVCL_1201","CVCL_1202","CVCL_1203","CVCL_1204","CVCL_1218","CVCL_1225","CVCL_1226","CVCL_1228","CVCL_1229","CVCL_1234","CVCL_2911","CVCL_2450","CVCL_1235","CVCL_1237","CVCL_6C19","CVCL_1240","CVCL_1245","CVCL_1247","CVCL_1249","CVCL_1251","CVCL_1255","CVCL_1256","CVCL_1258","CVCL_0290","CVCL_1259","CVCL_1261","CVCL_1263","CVCL_1266","CVCL_1267","CVCL_1270","CVCL_0291","CVCL_0292","CVCL_0001","CVCL_1278","CVCL_1281","CVCL_1283","CVCL_1285","CVCL_1286","CVCL_0312","CVCL_1290","CVCL_1294","CVCL_0324","CVCL_2526","CVCL_1298","CVCL_0359","CVCL_0360","CVCL_1321","CVCL_1322","CVCL_0004","CVCL_0371","CVCL_0375","CVCL_1329","CVCL_1331","CVCL_0379","CVCL_1345","CVCL_1346","CVCL_1380","CVCL_0399","CVCL_1381","CVCL_0400","CVCL_1395","CVCL_1438","CVCL_1399","CVCL_0031","CVCL_0062","CVCL_0417","CVCL_0445","CVCL_1414","CVCL_1415","CVCL_1416","CVCL_0434","CVCL_1417","CVCL_1419","CVCL_1420","CVCL_0013","CVCL_GZ01","CVCL_1441","CVCL_1442","CVCL_1443","CVCL_1444","CVCL_B323","CVCL_1445","CVCL_2092","CVCL_0005","CVCL_8822","CVCL_8823","CVCL_1448","CVCL_8824","CVCL_1450","CVCL_1452","CVCL_1544","CVCL_1547","CVCL_1557","CVCL_0459","CVCL_1567","CVCL_1604","CVCL_3075","CVCL_3076","CVCL_1613","CVCL_1622","CVCL_0471","CVCL_0465","CVCL_1627","CVCL_1628","CVCL_1629","CVCL_0035","CVCL_1644","CVCL_0511","CVCL_1646","CVCL_1647","CVCL_1649","CVCL_1650","CVCL_0504","CVCL_1660","CVCL_0014","CVCL_0036","CVCL_1671","CVCL_1673","CVCL_1675","CVCL_1687","CVCL_1688","CVCL_1689","CVCL_1690","CVCL_1691","CVCL_0032","CVCL_1695","CVCL_0041","CVCL_0069","CVCL_0526","CVCL_0527","CVCL_0532","CVCL_1705","CVCL_0535","CVCL_1706","CVCL_1711","CVCL_1712","CVCL_1715","CVCL_0544","CVCL_0542","CVCL_1717","CVCL_1718","CVCL_1720","CVCL_1721","CVCL_1722","CVCL_1723","CVCL_0545","CVCL_1724","CVCL_0547","CVCL_1725","CVCL_1726","CVCL_1727","CVCL_1728","CVCL_1729","CVCL_1730","CVCL_1731","CVCL_0632","CVCL_1732","CVCL_1733","CVCL_1734","CVCL_0553","CVCL_0555","CVCL_0556","CVCL_1738","CVCL_1768","CVCL_1769","CVCL_1770","CVCL_1771","CVCL_1773","CVCL_1774","CVCL_1775","CVCL_1911","CVCL_0021","CVCL_1779","CVCL_1780","CVCL_1794","CVCL_1797","CVCL_6774","CVCL_2030","CVCL_2034","CVCL_2908","CVCL_1252","CVCL_1254","CVCL_2062","CVCL_2063","CVCL_3517","CVCL_3532","CVCL_0401","CVCL_2588","CVCL_8792","CVCL_0067","CVCL_2661","CVCL_2673","CVCL_2675","CVCL_3116","CVCL_3770","CVCL_3110","CVCL_3117","CVCL_3567","CVCL_3156","CVCL_3599","CVCL_3881","CVCL_2235","CVCL_0030","CVCL_3791","CVCL_0297","CVCL_3302","CVCL_4996","CVCL_2686","CVCL_3216","CVCL_V001","CVCL_A555","CVCL_6472","CVCL_1843","CVCL_U997","CVCL_U994","CVCL_B079","CVCL_U999","CVCL_3001","CVCL_T023","CVCL_A533","CVCL_U995","CVCL_3169","CVCL_V000","CVCL_6473","CVCL_1887","CVCL_X483","CVCL_1842","CVCL_X485","CVCL_X506","CVCL_3112","CVCL_1819","CVCL_0580","CVCL_JM46","CVCL_3540","CVCL_3174","CVCL_1719","CVCL_1439","CVCL_2193","CVCL_6831","CVCL_2036","CVCL_3160","CVCL_A543","CVCL_A570","CVCL_A536","CVCL_1451","CVCL_A464","CVCL_U996","CVCL_A532","CVCL_A545","CVCL_2035","CVCL_U998","CVCL_S808","CVCL_3177","CVCL_X484","CVCL_1899","CVCL_C7JZ","CVCL_X505","CVCL_S675","CVCL_0065","CVCL_3167","CVCL_2529","CVCL_6895","CVCL_3020","CVCL_0271","CVCL_2583","CVCL_2585","CVCL_0475","CVCL_5G89","CVCL_E325","CVCL_2307","CVCL_2310","CVCL_S976","CVCL_8787"
"erlotinib",0.031461,NA,NA,NA,0.173074,NA,NA,0.196205,NA,NA,NA,NA,NA,NA,NA,0.010516,NA,NA,NA,0.097503,NA,NA,NA,NA,0.060791,NA,NA,NA,0.007106,NA,NA,NA,0.006404,0.011688,0.002098,0.003673,NA,0.084817,NA,0.008986,NA,NA,0.003712,NA,NA,0.016569,NA,0.002038,NA,0.284399,0.02104,0.003405,0.177238,0.00353,0.002337,0.107632,0.000974,0.120786,0.046277,0.012738,NA,NA,NA,0.153273,NA,0.000955,NA,NA,NA,0.002227,NA,0.034927,NA,0.002114,NA,NA,NA,0.00786,NA,NA,NA,0.076945,0.005592,0.007435,NA,NA,NA,NA,0.106018,NA,NA,NA,0.033794,NA,NA,0.000933,NA,NA,NA,NA,NA,NA,NA,0.003658,0.018429,NA,0.038455,NA,0.015013,0.002124,0.032632,NA,0.00394,NA,0.001096,NA,NA,NA,0.056272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016669,0.016841,0.006058,NA,0.034234,0.003673,0.075934,0.002134,NA,0.073596,NA,NA,0.114629,0.033775,0.028739,0.000969,0.052072,NA,0.005636,0.002127,0.09697,NA,NA,0.007324,0.00598,0.041572,NA,NA,NA,NA,0.131993,NA,NA,NA,0.00225,0.002045,0.002132,0.08445,NA,0.002418,0.003994,0.000946,NA,NA,NA,0.005836,NA,0.003916,0.004366,0.006106,NA,0.012444,NA,0.000965,NA,0.000974,NA,NA,NA,NA,NA,0.005827,0.007534,0.016847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004063,NA,NA,NA,0.007392,NA,NA,0.08816,0.107705,NA,NA,NA,NA,NA,NA,0.003836,NA,NA,0.229411,NA,0.000974,NA,NA,0.007639,NA,NA,0.000298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aicar",0.275537,0.004871,0.06369,0.10281,0.088405,0.074637,0.123545,0.082854,0.05599,0.140303,0.043423,0.076884,0.115659,0.089977,0.170587,0.101754,0.004268,0.345126,0.186114,0.022998,0.119377,0.283696,0.083705,0.00628,0.248258,0.049051,0.055811,NA,0.101725,0.092961,0.218489,NA,0.247463,0.332275,0.057247,0.121598,0.079856,0.245255,0.148689,0.198846,0.361291,0.117154,0.100196,0.165345,0.254049,0.069334,0.059365,0.04138,0.161719,NA,NA,NA,0.078395,0.111379,0.180874,0.130726,0.085832,0.023955,0.103175,0.05461,0.148684,0.007615,0.14631,0.003972,0.055297,0.11409,NA,NA,0.128474,0.053421,0.020732,0.163896,0.118213,0.116586,0.040418,0.105767,0.18667,NA,0.294821,0.107258,0.147517,0.307102,0.046449,0.121242,0.037187,0.212586,0.104513,0.101667,0.196999,NA,0.137358,0.346699,0.072485,0.111538,0.109901,0.080038,0.012747,0.142704,NA,0.136342,0.070044,0.168313,NA,0.022828,0.223523,NA,0.23646,0.003977,0.078318,0.133844,0.003916,0.07349,0.081468,0.072803,0.249958,0.095676,0.109087,NA,0.025802,0.152577,0.162609,NA,0.105772,NA,0.036941,0.215632,0.008285,0.096095,0.28584,0.018331,0.185358,0.031992,0.013381,0.016922,0.006351,0.049146,NA,0.08592,NA,NA,0.064348,0.031507,0.152928,0.228851,0.074197,NA,0.075205,0.054238,0.071819,0.081344,NA,0.007181,0.044794,0.04816,0.185076,0.093206,0.15349,0.014511,0.200453,0.011098,0.070679,0.316415,0.160672,0.059133,0.3366,0.009248,0.012042,0.123281,0.068881,0.02647,0.399488,0.028175,NA,0.127141,0.264158,0.113571,0.031398,0.029302,0.003503,0.024103,0.017819,0.02948,0.003578,0.065385,0.034384,0.006191,0.063239,0.093701,NA,0.120839,0.290343,0.195325,0.035254,0.0315,0.013746,0.044664,0.067363,0.034305,0.017403,0.065528,0.147341,NA,0.177719,0.045562,0.011572,0.189621,0.030545,0.108943,0.07764,0.105051,0.080033,0.027537,0.293392,0.033203,0.154959,0.259195,0.039359,0.04197,0.140744,0.080508,0.207546,0.214769,0.163551,0.031238,0.11714,0.225013,0.174067,0.092621,0.010314,0.143247,0.034324,0.003387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"camptothecin",0.286594,0.236965,0.368706,0.381959,0.228945,0.443418,0.7004,0.382645,0.4481,0.371277,0.350032,0.298605,0.581665,0.289133,0.483744,0.154233,0.236841,0.372886,0.420329,0.264723,0.160556,0.433864,0.382368,0.152842,0.497965,0.307767,0.211939,NA,0.066415,0.387028,0.083927,NA,0.1078,0.429486,0.315508,0.270403,0.06509,0.175804,0.514146,0.223769,0.452946,0.289664,0.504517,0.336203,0.284093,0.328397,0.0172,0.48451,0.340246,NA,NA,NA,0.078938,0.643646,0.646796,0.62859,0.399485,0.159851,0.417455,0.461301,0.640731,0.101193,0.38428,0.204454,0.443851,0.44274,NA,NA,0.291833,0.571012,0.576082,0.568774,0.117,0.131473,0.19464,0.009654,0.126756,NA,0.431197,0.181457,0.016497,0.316129,0.023729,0.202926,0.354874,0.126068,0.256517,0.27818,0.453655,NA,0.352829,0.598717,0.406092,0.279053,0.460987,0.122046,0.105672,0.192386,NA,0.505589,0.364383,0.186473,NA,0.423128,0.297684,NA,0.33455,0.098563,0.253167,0.28599,0.109121,0.264975,0.231599,0.335314,0.481521,0.462882,0.349816,NA,0.043631,0.247332,0.314057,NA,0.202975,NA,0.227747,0.121797,0.3251,0.119428,0.377113,0.191185,0.563139,0.2846,0.515046,0.228292,0.223983,0.521305,NA,0.534862,NA,NA,0.442031,0.158773,0.590537,0.365069,0.417808,NA,0.272779,0.30189,0.02513,0.56725,NA,0.570823,0.145445,0.170743,0.453281,0.099727,0.273818,0.218314,0.155213,0.206903,0.333227,0.359468,0.523797,0.452227,0.241366,0.168124,0.265538,0.498847,0.436597,0.338496,0.193079,0.314611,NA,0.208433,0.619799,0.080549,0.394465,0.55888,0.367819,0.371309,0.153243,0.423639,0.199881,0.301584,0.281264,0.36934,0.210404,0.445711,NA,0.287032,0.57378,0.14186,0.251841,0.123631,0.456164,0.194238,0.220419,0.528153,0.243555,0.268084,0.212585,NA,0.507404,0.402361,0.171326,0.044512,0.466737,0.272673,0.212942,0.548836,0.238023,0.155262,0.275362,0.269683,0.462548,0.255162,0.006822,0.263833,0.195584,0.168162,0.165939,0.186159,0.354169,0.197255,0.169857,0.361112,0.194746,0.473784,0.106501,0.25416,0.260939,0.180463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vinblastine",0.333838,0.258268,0.35355,0.568336,0.314156,0.469932,0.553122,0.365767,0.344665,0.400828,0.451522,0.319857,0.44977,0.07947,0.176861,0.217572,0.353242,0.415052,0.490505,0.452807,0.168719,0.304367,0.19978,0.227692,0.313669,0.227651,0.065512,NA,0.189624,0.243546,0.197465,NA,0.157636,0.581659,0.080287,0.118487,0.305786,0.386239,0.523527,0.037229,0.394396,0.368258,0.594786,0.465572,0.434862,0.268732,0.119651,0.012426,0.243951,NA,NA,NA,0.072213,0.444678,0.500468,0.338337,0.506428,0.147626,0.485638,0.49674,0.316593,0.08691,0.267706,0.198054,0.407701,0.344,NA,NA,0.47513,0.624902,0.482234,0.405191,0.250266,0.489533,0.300019,0.1972,0.187602,NA,0.450781,0.139397,0.161694,0.207217,0.080213,0.386707,0.342504,0.250686,0.430768,0.014471,0.221067,NA,0.389584,0.372085,0.347723,0.238049,0.466278,0.273188,0.064552,0.286431,NA,0.347325,0.170258,0.531248,NA,0.432881,0.404972,NA,0.23579,0.105931,0.374401,0.270161,0.257323,0.388337,0.344675,0.412926,0.460672,0.316364,0.412443,NA,0.478425,0.229057,0.257632,NA,0.361289,NA,0.284512,0.274131,0.250473,0.184498,0.426524,0.253422,0.436296,0.374756,0.407416,0.206004,0.478243,0.435603,NA,0.291105,NA,NA,0.324225,0.188476,0.437952,0.282141,0.462219,NA,0.328056,0.433932,0.092141,0.313543,NA,0.45807,0.112073,0.221686,0.518638,0.248749,0.253552,0.46127,0.265726,0.338541,0.432801,0.265593,0.481647,0.214875,0.613198,0.039609,0.419512,0.402607,0.470155,0.418302,0.56163,0.170595,NA,0.413541,0.260851,0.258205,0.316591,0.402014,0.199058,0.557183,0.141364,0.071731,0.241765,0.448936,0.286728,0.426092,0.306975,0.304935,NA,0.33027,0.548204,0.349326,0.286736,0.028391,0.435767,0.061224,0.156077,0.248495,0.474916,0.176887,0.171447,NA,0.443326,0.297347,0.276807,0.165355,0.323568,0.527281,0.116897,0.149056,0.262173,0.162874,0.393101,0.274417,0.501221,0.281091,0.005682,0.363934,0.227655,0.204589,0.253606,0.226385,0.221522,0.222353,0.069741,0.507834,0.290788,0.481996,0.160237,0.415411,0.132519,0.030405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cisplatin",0.218942,0.030526,0.044416,0.190567,0.076654,0.190652,0.353152,0.116127,0.01161,0.029937,0.085523,0.068946,0.27118,0.019784,0.142803,0.017643,0.013401,0.148483,0.018757,0.088763,0.126156,0.055307,0.161435,0.032238,0.04124,0.163022,0.008738,NA,0.012572,0.131028,0.006071,NA,0.042081,0.152072,0.040764,0.062552,0.010119,0.083117,0.322302,0.018833,0.078714,0.080276,0.039862,0.046136,0.07471,0.018627,0.109297,0.005518,0.05648,NA,NA,NA,0.007225,0.182376,0.381449,0.320402,0.246144,0.114971,0.290566,0.182147,0.022957,0.007206,0.011952,0.068417,0.134513,0.255542,NA,NA,0.085839,0.148206,0.192416,0.02249,0.050446,0.031582,0.149916,0.140422,0.0116,NA,0.141284,0.094779,0.02377,0.048624,0.007369,0.071263,0.018503,0.099659,0.022868,0.020025,0.334572,NA,0.137262,0.067434,0.181959,0.214444,0.269543,0.006877,0.022472,0.037578,NA,0.057663,0.143449,0.094844,NA,0.18599,0.041238,NA,0.079768,0.030175,0.021658,0.041691,0.190181,0.011869,0.099053,0.048353,0.221627,0.123148,0.02013,NA,0.002165,0.04425,0.081364,NA,0.096168,NA,0.081172,0.074398,0.109737,0.074747,0.131195,0.005863,0.060475,0.123087,0.177371,0.020258,0.063267,0.108195,NA,0.055541,NA,NA,0.157269,0.011538,0.094721,0.049064,0.301622,NA,0.048805,0.167758,0.013201,0.132657,NA,0.256198,0.038785,0.120244,0.14725,0.049072,0.075309,0.100221,0.10653,0.217098,0.100172,0.064026,0.317022,0.039214,0.058375,0.00388,0.097212,0.060986,0.035981,0.003342,0.070728,0.097542,NA,0.156245,0.124699,0.126532,0.127112,0.324419,0.104267,0.21293,0.102861,0.100078,0.094454,0.135881,0.078013,0.096099,0.007226,0.091886,NA,0.052797,0.055027,0.00361,0.135676,0.028567,0.092005,0.019652,0.022599,0.055066,0.042538,0.063736,0.145771,NA,0.105958,0.138722,0.04746,0.006156,0.152846,0.10312,0.021859,0.271061,0.068641,0.01913,0.110075,0.040917,0.135729,0.020447,0.010895,0.021856,0.113251,0.025235,0.035581,0.067534,0.089411,0.06971,0.079787,0.025897,0.095345,0.109514,0.027153,0.110607,0.002204,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cytarabine",0.197374,0.135388,0.306655,0.366335,0.180336,0.344283,0.524514,0.302082,0.50843,0.175978,0.145567,0.387046,0.358565,0.124785,0.298685,0.066532,0.139419,0.333343,0.229029,0.189206,0.10346,0.203787,0.241835,0.169112,0.390724,0.476947,0.111869,NA,0.022811,0.394097,0.065789,NA,0.006316,0.562042,0.037169,0.129143,0.011313,0.107765,0.238839,0.009546,0.273985,0.131609,0.032937,0.14603,0.104773,0.096108,0.014611,0.002017,0.084804,NA,NA,NA,0.00347,0.543008,0.356649,0.387046,0.289444,0.226907,0.344755,0.41808,0.229051,0.10679,0.268426,0.128534,0.273726,0.293208,NA,NA,0.411216,0.262517,0.347919,0.357224,0.142959,0.074638,0.106267,0.127307,0.046562,NA,0.374414,0.142921,0.021523,0.059062,0.002441,0.264253,0.168284,0.060253,0.329223,0.113989,0.551928,NA,0.157177,0.356762,0.399402,0.255267,0.265904,0.044064,0.167271,0.110112,NA,0.130929,0.089429,0.2277,NA,0.393748,0.204863,NA,0.008354,0.043667,0.082343,0.235881,0.196161,0.095051,0.171862,0.247194,0.398076,0.124635,0.252928,NA,0.155012,0.121803,0.268581,NA,0.186825,NA,0.172357,0.176067,0.214004,0.031812,0.409013,0.043931,0.484779,0.180676,0.348258,0.056903,0.027565,0.39626,NA,0.098629,NA,NA,0.275501,0.053797,0.400823,0.292911,0.233245,NA,0.105286,0.284999,0.003522,0.377358,NA,0.377361,0.023199,0.13593,0.169279,0.230381,0.184436,0.10508,0.133726,0.313135,0.317184,0.213242,0.369535,0.082734,0.159277,0.081476,0.169828,0.471012,0.263023,0.085142,0.022633,0.097405,NA,0.141498,0.408133,0.13434,0.272049,0.345092,0.06699,0.2235,0.185491,0.293169,0.28641,0.280806,0.195868,0.091138,0.17316,0.233083,NA,0.059534,0.191932,0.092794,0.095924,0.089331,0.251759,0.040659,0.072174,0.113962,0.162719,0.128081,0.127016,NA,0.310424,0.364952,0.109315,0.019066,0.18613,0.16178,0.030106,0.28053,0.137843,0.139424,0.014616,0.14645,0.458799,0.08193,0.019622,0.112701,0.091559,0.04299,0.104528,0.148981,0.198715,0.128561,0.182146,0.484301,0.148415,0.168597,0.131383,0.240185,0.096183,0.014742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"docetaxel",0.211156,0.236869,0.150334,0.456685,0.181569,0.216301,0.342247,0.258768,0.335013,0.326546,0.46057,0.327862,0.267311,0.070528,0.064691,0.158769,0.367145,0.308419,0.346323,0.292557,0.047303,0.28636,0.158664,0.244255,0.302445,0.182629,0.067058,NA,0.036935,0.095866,0.237434,NA,0.226117,0.082639,0.025277,0.037138,0.033101,0.116937,0.415187,0.00692,0.195597,0.29377,0.019329,0.406911,0.285395,0.128942,0.120836,0.00222,0.177092,NA,NA,NA,0.129184,0.319005,0.228557,0.323913,0.363081,0.139024,0.469765,0.39004,0.304605,0.171137,0.410031,0.079013,0.259185,0.285597,NA,NA,0.222556,0.429858,0.291207,0.101886,0.246148,0.342279,0.104054,0.04208,0.013537,NA,0.350724,0.143113,0.123636,0.2026,0.019473,0.212493,0.15487,0.262832,0.311114,0.011385,0.012433,NA,0.183735,0.397654,0.276003,0.127669,0.421818,0.080998,0.143647,0.205804,NA,0.241799,0.080452,0.204328,NA,0.34959,0.175858,NA,0.266043,0.123141,0.214137,0.069769,0.111718,0.006,0.031849,0.082498,0.345508,0.290998,0.301826,NA,0.003558,0.272853,0.200774,NA,0.158385,NA,0.101621,0.180577,0.200573,0.176035,0.211189,0.131052,0.099368,0.177488,0.09932,0.102051,0.366411,0.47963,NA,0.307433,NA,NA,0.09034,0.050217,0.168859,0.229895,0.183455,NA,0.219168,0.197876,0.003816,0.355774,NA,0.391063,0.160667,0.139824,0.344355,0.216969,0.139793,0.189911,0.193169,0.285769,0.267219,0.153555,0.433489,0.009597,0.242418,0.004286,0.180693,0.054703,0.370937,0.083579,0.319751,0.090925,NA,0.266545,0.320806,0.19251,0.128101,0.318084,0.101296,0.427513,0.222475,0.073999,0.171447,0.269618,0.267787,0.272354,0.188653,0.166778,NA,0.226241,0.209115,0.007215,0.241107,0.016659,0.28719,0.205568,0.088358,0.201873,0.423912,0.211944,0.108564,NA,0.395111,0.194706,0.187396,0.16377,0.250856,0.442982,0.034355,0.088319,0.151844,0.042465,0.391311,0.234564,0.348967,0.212772,0.04628,0.351354,0.119787,0.11596,0.161926,0.152334,0.024024,0.123121,0.029751,0.16428,0.208035,0.263397,0.12193,0.241155,0.16655,0.013529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methotrexate",0.028851,0.027415,0.047581,0.033072,0.016464,0.264472,0.004328,0.00386,0.004393,0.033149,0.009289,0.006639,0.03874,0.003345,0.211931,0.003888,0.011875,0.215952,0.242902,0.006894,0.007388,0.013185,0.003731,0.003593,0.050245,0.022528,0.024042,NA,0.145776,0.058293,0.01225,NA,0.084961,0.323399,0.08419,0.211839,0.085883,0.293419,0.006073,0.116989,0.245275,0.20605,0.309087,0.011389,0.065781,0.106148,0.056086,0.216337,0.183299,NA,NA,NA,0.095642,0.152828,0.131749,0.237373,0.120663,0.081119,0.152784,0.031956,0.005955,0.010504,0.080736,0.006407,0.003311,0.038039,NA,NA,0.00955,0.016691,0.007208,0.348377,0.04753,0.052793,0.004309,0.005516,0.018931,NA,0.017817,0.028751,0.006186,0.014205,0.04057,0.153141,0.003921,0.059722,0.139498,0.259163,0.410629,NA,0.009441,0.011903,0.020414,0.003459,0.01025,0.238583,0.024907,0.004056,NA,0.044476,0.005368,0.15357,NA,0.198564,0.00581,NA,0.121838,0.013861,0.168249,0.16623,0.007524,0.019674,0.005626,0.006347,0.159091,0.003825,0.037789,NA,0.059366,0.003952,0.002548,NA,0.01821,NA,0.02792,0.08663,0.057373,0.007259,0.157443,0.002934,0.357816,0.077711,0.016941,0.003933,0.031573,0.260555,NA,0.003979,NA,NA,0.006279,0.002219,0.003725,0.004246,0.291623,NA,0.014666,0.094855,0.042735,0.235322,NA,0.14916,0.009338,0.006923,0.159066,0.046804,0.097871,0.070459,0.028722,0.005895,0.009561,0.005746,0.073622,0.301752,0.220064,0.003581,0.009501,0.371699,0.014881,0.132016,0.277916,0.088086,NA,0.002056,0.03002,0.066661,0.003332,0.041471,0.005652,0.003686,0.007303,0.088485,0.09437,0.004088,0.010467,0.002478,0.010547,0.012531,NA,0.00355,0.38487,0.27444,0.01177,0.006137,0.009549,0.048976,0.006536,0.009765,0.013496,0.00595,0.003506,NA,0.004994,0.013934,0.003861,0.009966,0.006037,0.20182,0.012937,0.014043,0.006813,0.003646,0.170504,0.005848,0.007297,0.002115,0.003699,0.006281,0.009233,0.044745,0.011341,0.014034,0.177963,0.002179,0.003882,0.409645,0.020732,0.006094,0.00354,0.004342,0.063817,0.035892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
